"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"9928","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18004/2025-2026/197623","Parvathipuram Manyam(District Collector Parvathipuram Manyam_IDA)","Gumma Thanuja Rani","ARAKU(ST)","13-Mar-2026","ATCHUTA RAO REDDI","Payment Success","189962"
"9929","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18004/2025-2026/193228","Parvathipuram Manyam(District Collector Parvathipuram Manyam_IDA)","Gumma Thanuja Rani","ARAKU(ST)","28-Jul-2026","ATCHUTA RAO REDDI","Payment Success","291724"
"9930","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18004/2025-2026/193184","Parvathipuram Manyam(District Collector Parvathipuram Manyam_IDA)","Gumma Thanuja Rani","ARAKU(ST)","28-Jul-2026","ATCHUTA RAO REDDI","Payment Success","200000"
"9931","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18004/2025-2026/197217","Parvathipuram Manyam(District Collector Parvathipuram Manyam_IDA)","Gumma Thanuja Rani","ARAKU(ST)","14-Jun-2026","ATCHUTA RAO REDDI","Payment Success","396358"
"9932","Andhra Pradesh","Construction of culverts and bridges","WS/MP18004/2025-2026/193197","Parvathipuram Manyam(District Collector Parvathipuram Manyam_IDA)","Gumma Thanuja Rani","ARAKU(ST)","14-Jun-2026","ATCHUTA RAO REDDI","Payment Success","482897"
"9933","Punjab","Street lights","WS/MP716/2025-2026/189735","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","24-Mar-2026","GUPTA ENTERPRISES","Payment Success","150000"
"9934","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/185869","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","19-Jun-2026","SHAMEER M","Payment Success","160603"
"9935","Arunachal Pradesh","Construction of culverts and bridges","WS/MP533/2025-2026/260053","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","20-Mar-2026","DP Enterprises","Payment Success","298108"
"9936","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP825/2025-2026/231469","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","17-Mar-2026","BENGAL CONSTRUCTION","Payment Success","1235774"
"9937","Arunachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP533/2025-2026/260070","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","20-Mar-2026","Nomo Enterprises","Payment Success","387200"
"9938","Arunachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP533/2025-2026/260070","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","20-Mar-2026","Nomo Enterprises","Payment Success","305780"
"9939","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP558/2025-2026/268606","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","Dinesh Chandra Yadav","MADHEPURA","23-Jun-2026","ASSISTANT ENGINEER LAEO WORKS DIVISION SAHARSA","Payment Success","1497179"
"9940","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18039/2025-2026/162173","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","RAJESH VERMA","KHAGARIA","30-Jun-2026","ASSISTANT ENGINEER LAEO WORKS DIVISION SAHARSA","Payment Success","990785"
"9941","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP18039/2025-2026/227185","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","RAJESH VERMA","KHAGARIA","16-Mar-2026","ASSISTANT ENGINEER LAEO WORKS DIVISION SAHARSA","Payment Success","323979"
"9942","Bihar","Construction of community centers and community halls","WS/MP558/2025-2026/254107","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","Dinesh Chandra Yadav","MADHEPURA","20-May-2026","ASSISTANT ENGINEER LAEO WORKS DIVISION SAHARSA","Payment Success","148384"
"9943","Bihar","Construction of community centers and community halls","WS/MP558/2025-2026/253719","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","Dinesh Chandra Yadav","MADHEPURA","20-May-2026","ASSISTANT ENGINEER LAEO WORKS DIVISION SAHARSA","Payment Success","561429"
"9944","Rajasthan","Development of playground","WS/MP18313/2025-2026/193048","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","BANSWARA(ST)","04-Aug-2026","JAI MAA VADIKHAND CONSTRUCTION AND BUILDING MATERIAL SUPPLIERS","Payment Success","197078"
"9945","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18313/2025-2026/193447","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","BANSWARA(ST)","19-Mar-2026","JAI MAA VADIKHAND CONSTRUCTION AND BUILDING MATERIAL SUPPLIERS","Payment Success","132844"
"9946","Rajasthan","Development of playground","WS/MP18313/2025-2026/263540","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","BANSWARA(ST)","19-Apr-2026","JAI MAA VADIKHAND CONSTRUCTION AND BUILDING MATERIAL SUPPLIERS","Payment Success","248561"
"9947","Rajasthan","Development of playground","WS/MP18313/2025-2026/263540","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","BANSWARA(ST)","16-May-2026","JAI MAA VADIKHAND CONSTRUCTION AND BUILDING MATERIAL SUPPLIERS","Payment Success","499500"
"9948","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18104/2025-2026/213694","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","02-Apr-2026","Sarpanch Gram Panchayat Amladakalan","Payment Success","100000"
"9949","Karnataka","Construction of rooms and halls in school and colleges","WS/MP618/2025-2026/219773","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","17-Mar-2026","BALACHANDRA SHANKARAPPA DASAR","Payment Success","375000"
"9950","Karnataka","Construction of rooms and halls in school and colleges","WS/MP618/2025-2026/219773","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","15-Jul-2026","BALACHANDRA SHANKARAPPA DASAR","Payment Success","124888"
"9951","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2025-2026/213055","YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","13-Mar-2026","ANIL BAKARAM CHOPADE","Payment Success","986725"
"9952","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/245366","YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","19-Jun-2026","ANIL BAKARAM CHOPADE","Payment Success","968574"
"9953","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/245367","YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","19-Jun-2026","ANIL BAKARAM CHOPADE","Payment Success","969475"
"9954","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/181383","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","17-Mar-2026","PARSAPPA RAMAPPA MADARAKHANDI","Payment Success","375000"
"9955","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/181383","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","15-Jul-2026","PARSAPPA RAMAPPA MADARAKHANDI","Payment Success","124945"
"9956","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18185/2025-2026/216866","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","13-Mar-2026","USHA K","Payment Success","799714"
"9957","Punjab","Providing supply pipelines for drinking water","WS/MP716/2025-2026/210120","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","06-Apr-2026","palla JCB","Payment Success","44000"
"9958","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/221541","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","17-Mar-2026","RABHADA GRAM PANCHAYAT","Payment Success","277362"
"9959","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/231463","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","17-Mar-2026","DOLIYA GRAM PANCHAYAT","Payment Success","400000"
"9960","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/255972","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","15-Jun-2026","Vasudeva Steel Traders","Payment Success","88370"
"9961","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/255974","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","20-Mar-2026","Vasudeva Steel Traders","Payment Success","133918"
"9962","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/257077","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","Billa Bricks Manufacting","Payment Success","49200"
"9963","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/257077","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","Billa Bricks Manufacting","Payment Success","49200"
"9964","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/257077","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","Billa Bricks Manufacting","Payment Success","45100"
"9965","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/257077","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","Billa Bricks Manufacting","Payment Success","45100"
"9966","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/270910","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","27-Apr-2026","Billa Bricks Manufacting","Payment Success","12150"
"9967","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP380/2025-2026/243156","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","01-Jul-2026","harmesh singh","Payment Success","87168"
"9968","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP380/2025-2026/243156","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","01-Jul-2026","harmesh singh","Payment Success","7500"
"9969","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP380/2025-2026/243156","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","01-Jul-2026","harmesh singh","Payment Success","4500"
"9970","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP380/2025-2026/243156","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","13-Mar-2026","harmesh singh","Payment Success","43584"
"9971","Kerala","Purchase of vans and buses for educational institutions","WS/MP348/2025-2026/218171","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Shri Benny Behanan","CHALAKUDY","16-Mar-2026","HEADMISTRESS GOVT HSS CHOWARA","Payment Success","85000"
"9972","Tamil Nadu","Construction of community centers and community halls","WS/MP394/2025-2026/136038","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","12-Mar-2026","S ANILKUMAR","Payment Success","958811"
"9973","Uttar Pradesh","Construction of community centers and community halls","WS/MP18221/2025-2026/259976","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","30-Mar-2026","Dhamras Infrastructure Private Limited","Payment Success","299141"
"9974","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18221/2025-2026/259955","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","30-Mar-2026","Dhamras Infrastructure Private Limited","Payment Success","518759"
"9975","Punjab","Providing drains and gutters for public drainage","WS/MP380/2025-2026/199117","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","11-Mar-2026","Babaljeet  Majri New","Payment Success","18756"
"9976","Rajasthan","Development of playground","WS/MP18163/2025-2026/257565","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","08-Apr-2026","narendra and company","Payment Success","797842"
"9977","Rajasthan","Development of playground","WS/MP18163/2025-2026/257565","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","11-Jun-2026","narendra and company","Payment Success","195043"
"9978","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/151490","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","11-Mar-2026","GRAM PANCHAYAT NAVA VAGHANIYA","Payment Success","297100"
"9979","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/219923","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","27-Mar-2026","GRAM PANCHAYAT NAVA VAGHANIYA","Payment Success","298100"
"9980","Uttarakhand","Construction of public libraries and reading rooms","WS/MP021/2025-2026/242742","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","11-Mar-2026","deepak singh","Payment Success","13650"
"9981","Uttarakhand","Construction of public libraries and reading rooms","WS/MP021/2025-2026/242742","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","11-Mar-2026","harish singh","Payment Success","13650"
"9982","Uttarakhand","Construction of public libraries and reading rooms","WS/MP021/2025-2026/242742","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","11-Mar-2026","mohan singh","Payment Success","13650"
"9983","Uttarakhand","Construction of public libraries and reading rooms","WS/MP021/2025-2026/242742","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","11-Mar-2026","manju nayal","Payment Success","7560"
"9984","Uttarakhand","Construction of public libraries and reading rooms","WS/MP021/2025-2026/242742","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","11-Mar-2026","ganga devi","Payment Success","7812"
"9985","Himachal Pradesh","Providing CCTV camera system for security of public areas","WS/MP18069/2025-2026/275266","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","07-Apr-2026","Managing Director HPSEDC","Payment Success","249999"
"9986","Himachal Pradesh","Providing CCTV camera system for security of public areas","WS/MP18069/2025-2026/270358","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","19-Mar-2026","Managing Director HPSEDC","Payment Success","1082240"
"9987","Uttarakhand","Construction of public libraries and reading rooms","WS/MP021/2025-2026/242742","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","11-Mar-2026","manju devi","Payment Success","7560"
"9988","Uttarakhand","Construction of public libraries and reading rooms","WS/MP021/2025-2026/242742","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","11-Mar-2026","puspa nayal","Payment Success","7560"
"9989","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18127/2026-2027/274233","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","02-Jul-2026","GOKUL VASANT ILAG","Payment Success","941382"
"9990","Maharashtra","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18127/2026-2027/274234","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","02-Jul-2026","GOKUL VASANT ILAG","Payment Success","949700"
"9991","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2025-2026/260207","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","KORBA","23-Mar-2026","SARPANCH SACHIV GP KUDKAI","Payment Success","160000"
"9992","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/218102","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","12-Mar-2026","MS Patial Bricks","Payment Success","32003"
"9993","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/228789","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","27-Jul-2026","MS Patial Bricks","Payment Success","32000"
"9994","Punjab","Construction of night shelters for homeless","WS/MP18155/2025-2026/250125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","23-Jun-2026","MS Patial Bricks","Payment Success","32000"
"9995","Punjab","Construction of night shelters for homeless","WS/MP18155/2025-2026/250125","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","23-Jun-2026","MS Patial Bricks","Payment Success","32000"
"9996","Rajasthan","Construction of community centers and community halls","WS/MP386/2025-2026/243827","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","13-Apr-2026","NATIONAL CONSTRUCTION COMPANY","Payment Success","533100"
"9997","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18189/2025-2026/184785","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","16-Apr-2026","Guguloth Rambabu","Payment Success","398073"
"9998","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18394/2025-2026/209303","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","12-Mar-2026","K RAMASAMY","Payment Success","599950"
"9999","Maharashtra","Construction of public libraries and reading rooms","WS/MP18119/2025-2026/163436","CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA)","DR. KIRSAN NAMDEO","GADCHIROLI-CHIMUR(ST)","24-Mar-2026","GRAM PANCHYAT MANGLI","Payment Success","1404544"
"10000","Jammu And Kashmir","Construction of community centers and community halls","WS/MP331/2025-2026/193856","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","25-Mar-2026","Rekha Rani","Payment Success","451500"
"10001","Jammu And Kashmir","Construction of community centers and community halls","WS/MP331/2025-2026/193856","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","14-Aug-2026","Rekha Rani","Payment Success","447200"
"10002","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP526/2025-2026/259208","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","11-Mar-2026","B CHANDRA OBUL REDDY","Payment Success","998110"
"10003","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18124/2025-2026/226197","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","GAIKWAD VARSHA EKNATH","MUMBAI NORTH-CENTRAL","20-Mar-2026","Pushkar sahakari majoor sanstha maryadit","Payment Success","799392"
"10004","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18124/2025-2026/226161","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","GAIKWAD VARSHA EKNATH","MUMBAI NORTH-CENTRAL","20-Mar-2026","Pushkar sahakari majoor sanstha maryadit","Payment Success","1748671"
"10005","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP18320/2025-2026/215409","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","12-Mar-2026","RANAWAS GRAM PANCHAYAT","Payment Success","300000"
"10006","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18124/2025-2026/226155","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","GAIKWAD VARSHA EKNATH","MUMBAI NORTH-CENTRAL","20-Mar-2026","Shyam co operative labour society ltd","Payment Success","1798633"
"10007","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP484/2024-2025/155352","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Mala Roy","KOLKATA DAKSHIN","18-Mar-2026","TARA MAA ENTERPRISE","Payment Success","1690116"
"10008","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18124/2025-2026/226193","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","GAIKWAD VARSHA EKNATH","MUMBAI NORTH-CENTRAL","20-Mar-2026","Ashok Construction Co","Payment Success","1998481"
"10009","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18034/2025-2026/221973","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","CHIRAG PASWAN","HAJIPUR(SC)","12-Mar-2026","Abhishek Kumar","Payment Success","988684"
"10010","Maharashtra","Street lights","WS/MP18327/2025-2026/137670","SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA)","PRANITI SUSHILKUMAR SHINDE","SOLAPUR(SC)","12-Mar-2026","RP ELECTRICALS","Payment Success","498751"
"10011","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18048/2025-2026/200466","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","24-Mar-2026","SARPANCH SACHIV G P DHURGUDA","Payment Success","350000"
"10012","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18115/2026-2027/186414","BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA)","DR. PRASHANT YADAORAO PADOLE","BHANDARA-GONDIYA","11-Apr-2026","GRAM PANCHAYAT KHOKARLA","Payment Success","694967"
"10013","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/226775","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","12-Mar-2026","GURU GOBIND SINGH STEEL WORKS","Payment Success","255234"
"10014","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/226774","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","12-Mar-2026","GURU GOBIND SINGH STEEL WORKS","Payment Success","265028"
"10015","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18021/2025-2026/267294","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","11-Mar-2026","Batabari Ambari Markula","Payment Success","300000"
"10016","Assam","Construction of community centers and community halls","WS/MP18021/2025-2026/267292","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","11-Mar-2026","Nayapara Anchalik","Payment Success","300000"
"10017","Assam","Construction of community centers and community halls","WS/MP18021/2025-2026/267292","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","04-Jul-2026","Nayapara Anchalik","Payment Success","200000"
"10018","Uttarakhand","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP021/2025-2026/227788","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","DEV ENTERPRISES","Payment Success","498800"
"10019","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP18320/2025-2026/231686","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","11-Mar-2026","VATAM JUNA GRAM PANCHAYAT VATAM JUNA","Payment Success","300000"
"10020","Punjab","Purchase of IT systems, including hardware and software for educational purposes","WS/MP380/2025-2026/244813","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","17-Mar-2026","BAJWA AIRCON SERVICES","Payment Success","115000"
"10021","Punjab","Purchase of IT systems, including hardware and software for educational purposes","WS/MP380/2025-2026/244812","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","18-Mar-2026","BAJWA AIRCON SERVICES","Payment Success","115000"
"10022","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18320/2025-2026/231617","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","11-Mar-2026","KUVARVA GRAM PANCHAYAT","Payment Success","300000"
"10023","Maharashtra","Construction of community centers and community halls","WS/MP18429/2025-2026/227019","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Ravindra Vasantrao Chavan","NANDED","10-Mar-2026","GRAM PANCHAYAT KARYALAYA SONKHED LOHA NANDED","Payment Success","497913"
