"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"24","Karnataka","Installing community drinking water plants","WS/MP18091/2025-2026/164324","MYSURU(DEPUTY COMMISSIONER MYSORE_IDA)","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","05-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","200000"
"25","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/173840","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","18-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","75000"
"26","Madhya Pradesh","Construction of culverts and bridges","WS/MP641/2025-2026/174767","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","20-Aug-2026","JANAPAD PANCHAYAT BARWANI","Payment In-Progress","400000"
"27","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2024-2025/159916","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Shri B Y Raghavendra","SHIMOGA","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","112286"
"28","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18082/2025-2026/187502","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","10-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"29","Karnataka","Construction of buildings for training institutions","WS/MP18093/2026-2027/217128","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","05-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"30","Karnataka","Construction of community centers and community halls","WS/MP18093/2026-2027/228510","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","02-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"31","Karnataka","Construction of buildings for community cultural activities","WS/MP18080/2025-2026/181801","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"32","Karnataka","Construction of community centers and community halls","WS/MP18080/2025-2026/182046","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"33","Karnataka","Construction of boundary walls of existing public and community buildings","WS/MP18080/2025-2026/181818","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
